Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
122,Fiji,20,20,110,12,5.5,7
123,Zambia,19,19,14,1,0.74,2
124,Jamaica,17,17,61,0,3.59,3
125,Mauritius,17,17,68,0,4,3
126,Mozambique,17,16,35,5,2.06,3
127,Laos,15,15,4,0,0.27,1
128,Nicaragua,14,14,22,1,1.57,2
129,Myanmar,13,13,73,13,5.62,3
130,Tajikistan,13,13,71,32,5.46,4
131,Gabon,11,11,42,0,3.82,2
132,Côte d’Ivoire,10,9,101,4,10.1,5
133,Panama,10,10,27,1,2.7,2
134,Papua New Guinea,8,8,12,4,1.5,2
135,Niger,8,8,76,2,9.5,4
136,Bhutan,8,8,36,0,4.5,2
137,Guatemala,8,8,6,0,0.75,1
138,Madagascar,7,7,87,1,12.43,3
139,Malawi,7,7,51,3,7.29,3
140,Barbados,7,7,14,3,2,3
141,Benin,7,7,8,1,1.14,2
142,Liechtenstein,6,6,38,0,6.33,2
143,Dominican Republic,6,6,9,0,1.5,2
144,Turkmenistan,6,6,12,0,2,2
145,Guinea,6,6,2,0,0.33,1
146,Namibia,6,6,14,1,2.33,2
147,Suriname,6,6,2,0,0.33,1
148,Rwanda,6,6,7,2,1.17,1
149,Lesotho,6,6,25,3,4.17,3
150,Sierra Leone,5,5,18,2,3.6,1
151,Swaziland,5,5,6,0,1.2,1
152,Eritrea,5,5,7,1,1.4,1
153,Kyrgyzstan,5,5,2,0,0.4,1
154,Cambodia,5,5,42,0,8.4,3
155,Guadeloupe,5,5,0,0,0,0
156,New Caledonia,4,4,6,0,1.5,2
157,Equatorial Guinea,4,4,19,0,4.75,2
158,Honduras,4,4,0,0,0,0
159,Faroe Islands,4,4,8,4,2,2
160,Djibouti,4,4,13,0,3.25,2
161,Netherlands Antilles,3,3,8,0,2.67,1
162,Greenland,3,3,49,0,16.33,2
163,Afghanistan,3,3,0,0,0,0
164,Cape Verde,3,3,5,0,1.67,1
165,French Guiana,3,3,1,1,0.33,1
166,Samoa,3,3,13,1,4.33,1
167,Cayman Islands,2,2,2,0,1,1
168,Andorra,2,2,13,0,6.5,1
169,Antigua and Barbuda,2,2,0,0,0,0
170,Haïti,2,2,4,1,2,1
171,Nauru,2,2,0,0,0,0
172,Seychelles,2,2,7,2,3.5,1
173,Mali,2,2,0,0,0,0
174,Bermuda,2,2,12,0,6,1
175,Chad,2,2,0,0,0,0
176,Burundi,2,2,23,0,11.5,1
177,Liberia,1,1,1,0,1,1
178,Togo,1,1,0,0,0,0
179,British Indian Ocean Territory,1,1,37,0,37,1
180,American Samoa,1,1,0,0,0,0
181,Saint Helena,1,1,1,0,1,1
182,Gibraltar,1,1,0,0,0,0
183,Maldives,1,1,1,0,1,1
184,Gambia,1,1,0,0,0,0
185,Belize,1,1,6,0,6,1
186,Palau,1,1,0,0,0,0
187,Guyana,1,1,0,0,0,0
188,Christmas Island,1,1,0,0,0,0
189,Reunion,1,1,2,1,2,1
190,Saint Lucia,1,1,0,0,0,0
191,Mauritania,1,1,1,0,1,1
