Country,Energy Supply (Petajoules),Energy Supply per capita (Gigajoules),Renewable Electricity Production (%),
Swaziland,  49,  39, 40.68,
Sweden, 2 044,  212, 46.60,
Switzerland17, 1 113,  136, 57.75,
Syrian Arab Republic,  542,  28, 11.57,
Tajikistan,  106,  13, 99.74,
Thailand, 5 336,  79, 4.31,
The former Yugoslav Republic of Macedonia,  117,  56, 26.14,
Timor-Leste,  7,  6, 0.00,
Togo,  134,  19, 80.18,
Tonga,  3,  28, 0.00,
Trinidad and Tobago,  824,  611, 0.00,
Tunisia,  430,  39, 3.49,
Turkey, 4 897,  64, 28.54,
Turkmenistan, 1 102,  210, 0.00,
Turks and Caicos Islands,  3,  85, 0.00,
Tuvalu,...,..., 0.00,
Uganda,  452,  12, 68.02,
Ukraine18, 4 844,  107, 8.07,
United Arab Emirates, 2 710,  300, 0.00,
United Kingdom of Great Britain and Northern Ireland19, 7 920,  124, 10.60,
United Republic of Tanzania,  994,  20, 31.07,
United States of America20, 90 838,  286, 11.57,
United States Virgin Islands,...,..., 0.00,
Uruguay,  196,  58, 71.61,
Uzbekistan, 1 798,  62, 21.33,
Vanuatu,  3,  10, 14.71,
Venezuela (Bolivarian Republic of), 2 871,  95, 67.83,
Viet Nam, 2 554,  28, 45.32,
Wallis and Futuna Islands,  0,  26, 0.00,
Yemen,  344,  13, 0.00,
Zambia,  400,  26, 99.71,
Zimbabwe,  480,  32, 52.54,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Excludes the overseas territories.,,,,
Data exclude Hong Kong and Macao Special Administrative Regions (Hong Kong SAR and Macao SAR) and Taiwan Province.,,,,
Data on kerosene-type jet fuel include aviation gasoline and other kerosene.,,,,
"For confidentiality reasons, data on coal and coal products, jet fuel, petroleum coke and other petroleum products (2009-2012), stock changes of other kerosene (2010-12), exports of charcoal (2009-2012), and data on fuelwood (2010-2012) are not available.",,,,
Data exclude Greenland and the Danish Faroes.,,,,
"Data include Monaco, and exclude the following overseas departments and territories: Guadeloupe, Guyana, Martinique, New Caledonia, French Polynesia, Reunion, and St. Pierre and Miquelon.",,,,
Data for kerosene-type jet fuel include other kerosene.,,,,
Data include Timor-Leste until 2001.,,,,
Data include San Marino and the Holy See. ,,,,
Data include Okinawa.,,,,
The data for crude oil production include 50 per cent of the output of the Neutral Zone. ,,,,
Data exclude Suriname and the Netherlands Antilles.,,,,
Data include the Azores and Madeira.,,,,
Data for crude oil production include 50 per cent of the output of the Neutral Zone.,,,,
Data exclude Kosovo from 2000 onwards.,,,,
Data include the Canary Islands.,,,,
Data include Liechtenstein for oil statistics.,,,,
"For confidentiality reasons, data on the following products (mainly on production) may not be available or may be included with other products: lignite (included with peat), patent fuel (included with peat briquettes), aviation gasoline, kerosene-type jet fuel, other kerosene, petroleum coke, paraffin waxes and white spirit (the latter three included with other oil products).",,,,
"Shipments of coal and oil to Jersey, Guernsey and the Isle of Man from the United Kingdom are not classed as exports. Supplies of coal and oil to these islands are, therefore, included as part of UK supply. Exports of natural gas to the Isle of Man are included with the exports to Ireland. ",,,,
"Includes the 50 states and the District of Columbia. Oil statistics as well as coal trade statistics also include Puerto Rico, Guam, the U.S. Virgin Islands, American Samoa, Johnston Atoll, Midway Islands, Wake Island and the Northern Mariana Islands. ",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
